Word,Count
#MenuItem_tooltipText,42
#MediaRouteButton_mediaRouteButtonTint,42
#AppCompatTheme_colorButtonNormal,42
#AppCompatTheme_buttonBarStyle,42
#CollapsingToolbarLayout_statusBarScrim,42
#FloatingActionButton_Behavior_Layout_behavior_autoHide,42
#TextInputLayout_hintEnabled,42
#RecyclerView_android_descendantFocusability,42
android:focusable,42
#MenuItem_android_menuCategory,42
#AppBarLayoutStates_state_collapsed,42
#LinearLayoutCompat_dividerPadding,42
#AppCompatTheme_actionMenuTextColor,42
#AppCompatTheme_listPopupWindowStyle,42
#Toolbar_titleTextColor,42
#AppCompatTheme_imageButtonStyle,42
#MenuItem_android_onClick,42
#TextInputLayout_android_textColorHint,42
#FontFamilyFont_android_fontStyle,42
#ActionBar_itemPadding,42
#AppCompatTheme_textColorAlertDialogListItem,42
#AppCompatTheme_radioButtonStyle,42
#AppCompatTheme_actionModeCloseDrawable,42
#AppCompatTheme_listPreferredItemPaddingLeft,42
<tr><td><code>collapseActionView</code></td><td>8</td><td></td></tr>,42
<tr><td><code>scrollable</code></td><td>0</td><td></td></tr>,42
#DrawerArrowToggle_gapBetweenBars,42
#CardView_cardCornerRadius,42
#ActionBar_background,42
#TabLayout_tabMode,42
#ViewStubCompat_android_layout,42
android:enabled}</code></td><td></td></tr>,42
#Toolbar_titleMarginStart,42
#CoordinatorLayout_Layout_layout_dodgeInsetEdges,42
#MenuView_android_verticalDivider,42
#Toolbar_contentInsetEnd,42
#MenuItem_alphabeticModifiers,42
#SwitchCompat_splitTrack,42
#AppCompatTheme_panelMenuListTheme,42
android:menuCategory}</code></td><td></td></tr>,42
android.R.attr#textColorHint},42
#FontFamily_fontProviderFetchStrategy,42
<tr><td><code>mini</code></td><td>1</td><td></td></tr>,42
#ListPopupWindow_android_dropDownVerticalOffset,42
#Toolbar_contentInsetLeft,42
#AppCompatTheme_listMenuViewStyle,42
android:orientation,42
#AppCompatTheme_seekBarStyle,42
#BottomNavigationView_itemBackground,42
#FontFamily_fontProviderCerts,42
#MenuView_preserveIconSpacing,42
#ViewBackgroundHelper_android_background,42
#AppCompatTextView_android_textAppearance,42
#SwitchCompat_switchTextAppearance,42
#ColorStateListItem_android_alpha,42
#MenuItem_android_orderInCategory,42
#SearchView_closeIcon,42
#SearchView_commitIcon,42
#CollapsingToolbarLayout_titleEnabled,42
#MenuItem_iconTint,42
#AppCompatImageView_tint,42
#AppCompatTheme_actionModePopupWindowStyle,42
#RecycleListView},42
android:popupBackground,42
#NavigationView_android_background,42
#AppCompatTheme_textAppearanceSearchResultTitle,42
#ActionBar_divider,42
<tr><td><code>uniform</code></td><td>1</td><td></td></tr>,42
#SwitchCompat_android_textOff,42
<tr><td><code>tabMode</code></td><td>2</td><td></td></tr>,42
#AppCompatTheme_actionModeCutDrawable,42
#Toolbar_titleMarginEnd,42
#AppCompatTextHelper_android_drawableTop,42
#AppCompatSeekBar_tickMarkTint,42
#AppCompatTheme_actionModeCloseButtonStyle,42
